291,1h 46m,4.4,39,10,5.3
292,2h 7m,6.6,257,59,6.8
293,1h 50m,8.5,1.4K,137,5.8
294,1h 53m,6.0,22,11,6.5
295,1h 34m,5.3,14,8,7.9
296,2h 34m,8.9,3.6K,268,7.4
298,1h 45m,7.2,19,16,7.1
299,1h 45m,7.1,80,32,7.1
300,2h 13m,7.5,187,59,7.6
301,1h 34m,6.6,12,11,7.4
302,2h 41m,7.4,77,34,8.0
303,1h 48m,6.5,318,72,6.1
304,1h 48m,6.4,22,10,6.3
305,2h 13m,5.2,66,28,6.3
306,1h 39m,8.1,207,88,7.5
307,1h 34m,7.9,236,105,7.5
308,1h 32m,7.6,131,83,7.5
310,1h 25m,5.4,14,1,7.1
311,1h 34m,5.5,6,6,6.6
312,1h 35m,5.3,52,7,6.5
313,1h 33m,6.4,77,22,4.2
314,1h 43m,7.4,84,23,6.5
315,1h 50m,5.6,157,40,6.9
316,1h 56m,7.0,347,88,6.2
317,1h 37m,6.6,197,69,6.5
318,2h 22m,9.3,10.8K,175,7.2
319,1h 29m,7.3,179,69,7.3
320,1h 36m,6.5,37,32,6.2
321,1h 48m,7.4,31,22,7.1
322,1h 33m,7.0,164,33,6.7
324,1h 40m,7.3,76,14,6.0
325,1h 31m,5.6,56,9,7.0
326,2h 13m,8.3,105,26,6.2
327,1h 44m,5.4,224,83,7.2
328,1h 32m,6.7,138,88,7.6
329,1h 58m,6.6,319,103,6.8
330,1h 38m,6.5,84,39,5.9
331,2h 5m,6.3,24,19,6.5
332,1h 38m,5.6,156,92,5.7
333,1h 37m,7.1,254,50,6.8
334,1h 59m,7.3,37,41,6.9
335,1h 39m,6.1,38,33,6.3
336,1h 28m,4.9,10,6,5.1
337,1h 58m,7.7,420,95,6.9
338,1h 46m,5.5,116,48,5.6
339,1h 43m,6.8,265,60,6.6
340,2h 6m,6.7,69,22,7.3
341,1h 27m,7.1,24,12,7.0
342,1h 46m,7.2,200,48,6.6
343,1h 34m,5.7,41,18,7.1
344,1h 26m,6.9,358,70,6.7
345,1h 44m,7.5,175,36,6.1
346,1h 40m,6.6,31,25,6.5
347,2h 19m,7.2,136,66,6.4
348,1h 38m,7.4,106,55,6.1
349,2h 21m,6.9,186,58,7.1
350,1h 59m,6.7,139,42,6.6
351,1h 55m,6.6,57,21,6.6
352,1h 55m,7.0,60,29,6.5
353,1h 42m,7.5,695,161,6.8
354,2h 8m,6.4,70,31,6.0
355,1h 31m,5.0,134,47,5.5
356,2h 22m,8.8,3.1K,109,6.5
357,1h 57m,7.1,298,73,6.7
358,2h 8m,6.5,146,31,6.5
359,1h 44m,6.7,18,8,7.2
360,2h 3m,5.3,41,27,5.9
361,1h 41m,6.4,117,40,5.9
362,1h 51m,6.0,53,19,5.5
363,3h 3m,8.0,25,19,7.2
364,1h 28m,8.5,1.2K,226,7.1
365,2h 3m,6.1,135,34,6.5
366,1h 52m,6.4,376,113,6.0
367,1h 41m,6.9,368,68,6.0
368,2h 7m,7.0,152,50,6.9
369,2h 5m,6.4,53,28,5.8
370,1h 23m,6.5,127,57,6.8
371,1h 52m,6.7,86,41,7.1
372,1h 39m,6.6,181,49,6.8
373,1h 38m,7.0,114,51,7.8
374,1h 35m,5.4,69,32,6.5
376,1h 51m,6.5,98,47,6.7
377,1h 56m,7.3,561,105,6.7
378,1h 39m,5.8,32,20,7.0
379,1h 39m,5.9,185,100,5.9
380,2h 21m,7.3,474,100,5.5
381,2h 6m,6.5,106,26,6.2
382,2h 5m,6.3,181,81,6.9
383,3h 11m,6.7,204,45,7.3
384,1h 48m,5.4,26,13,6.3
385,1h 39m,6.7,12,11,6.0
386,1h 36m,5.7,59,10,6.9
387,1h 40m,5.9,38,22,5.7
388,1h 31m,7.2,8,1,6.0
389,1h 50m,6.9,13,17,6.0
390,1h 23m,6.6,99,111,5.3
391,1h 59m,6.6,25,13,5.8
393,1h 42m,4.0,364,81,5.5
405,1h 39m,4.4,94,43,6.8
406,1h 37m,6.3,7,9,5.7
407,1h 35m,7.1,335,159,5.7
408,1h 45m,6.6,45,14,6.0
409,1h 36m,6.6,41,14,7.0
410,1h 34m,6.8,180,55,7.1
412,2h 19m,7.2,218,80,7.1
413,1h 32m,6.2,105,38,7.4
414,1h 47m,5.6,34,9,7.1
415,1h 48m,5.6,68,30,7.5
416,1h 39m,5.2,57,24,7.4
417,1h 41m,7.0,54,42,6.9
418,2h 2m,5.3,43,13,6.6
419,1h 32m,5.0,84,19,6.2
420,1h 44m,5.5,192,52,6.3
